,name,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,One Right Now (with The Weeknd),New Music Friday France,0.687,0.781,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,audio_features,00Blm7zeNqgYLPtW6zg8cj,spotify:track:00Blm7zeNqgYLPtW6zg8cj,https://api.spotify.com/v1/tracks/00Blm7zeNqgYLPtW6zg8cj,https://api.spotify.com/v1/audio-analysis/00Blm7zeNqgYLPtW6zg8cj,193507,4
1,Le classico organisé,New Music Friday France,0.828,0.878,7,-5.241,1,0.269,0.321,0.0,0.1,0.777,142.886,audio_features,2O9enJqAqs46tfBlGhLsnW,spotify:track:2O9enJqAqs46tfBlGhLsnW,https://api.spotify.com/v1/tracks/2O9enJqAqs46tfBlGhLsnW,https://api.spotify.com/v1/audio-analysis/2O9enJqAqs46tfBlGhLsnW,378080,4
2,New Shapes (feat. Christine and the Queens and Caroline Polachek),New Music Friday France,0.735,0.74,0,-4.929,1,0.0552,0.111,0.0,0.032,0.553,107.061,audio_features,2JvWoj5bTklsb6fPzRfZ3x,spotify:track:2JvWoj5bTklsb6fPzRfZ3x,https://api.spotify.com/v1/tracks/2JvWoj5bTklsb6fPzRfZ3x,https://api.spotify.com/v1/audio-analysis/2JvWoj5bTklsb6fPzRfZ3x,200688,4
3,ESCAPE PLAN,New Music Friday France,0.839,0.506,5,-6.714,0,0.133,0.00207,0.0,0.13,0.44,154.12,audio_features,4R67rQNSbbsR4TdUVOIdez,spotify:track:4R67rQNSbbsR4TdUVOIdez,https://api.spotify.com/v1/tracks/4R67rQNSbbsR4TdUVOIdez,https://api.spotify.com/v1/audio-analysis/4R67rQNSbbsR4TdUVOIdez,149610,4
4,Smokin Out The Window,New Music Friday France,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,audio_features,4iN16F8JtVxG2UTzp3avGl,spotify:track:4iN16F8JtVxG2UTzp3avGl,https://api.spotify.com/v1/tracks/4iN16F8JtVxG2UTzp3avGl,https://api.spotify.com/v1/audio-analysis/4iN16F8JtVxG2UTzp3avGl,197443,4
5,Comment Faire,New Music Friday France,0.543,0.255,0,-8.619,0,0.0497,0.941,0.0,0.124,0.435,87.458,audio_features,2QEtf4oCeJrfDeqf8rJiQK,spotify:track:2QEtf4oCeJrfDeqf8rJiQK,https://api.spotify.com/v1/tracks/2QEtf4oCeJrfDeqf8rJiQK,https://api.spotify.com/v1/audio-analysis/2QEtf4oCeJrfDeqf8rJiQK,160160,4
6,No Love (with SZA),New Music Friday France,0.707,0.618,1,-5.825,0,0.19,0.17,0.0,0.293,0.517,133.876,audio_features,08SB2OtZkaliju77WYEKxk,spotify:track:08SB2OtZkaliju77WYEKxk,https://api.spotify.com/v1/tracks/08SB2OtZkaliju77WYEKxk,https://api.spotify.com/v1/audio-analysis/08SB2OtZkaliju77WYEKxk,231498,4
7,N.I,New Music Friday France,0.763,0.762,5,-5.112,0,0.0773,0.148,0.0,0.196,0.789,135.014,audio_features,4H1CfsnXQonWnJeHzHuVUz,spotify:track:4H1CfsnXQonWnJeHzHuVUz,https://api.spotify.com/v1/tracks/4H1CfsnXQonWnJeHzHuVUz,https://api.spotify.com/v1/audio-analysis/4H1CfsnXQonWnJeHzHuVUz,179027,4
8,The Motto,New Music Friday France,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,audio_features,18asYwWugKjjsihZ0YvRxO,spotify:track:18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/tracks/18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/audio-analysis/18asYwWugKjjsihZ0YvRxO,164819,4
9,Dadada,New Music Friday France,0.752,0.517,11,-8.303,0,0.058,0.0961,0.0,0.127,0.647,84.996,audio_features,4SRkixF643LgySLh8owTkJ,spotify:track:4SRkixF643LgySLh8owTkJ,https://api.spotify.com/v1/tracks/4SRkixF643LgySLh8owTkJ,https://api.spotify.com/v1/audio-analysis/4SRkixF643LgySLh8owTkJ,131373,4
